@id,building_usage,age,bays_x,bays_y,building_condition,floor_material,floor_material_others,num_floors,neighbour_attachement,overhang,owner_rent,retrofit,roof_material,roof_material_others,roof_slope,roof_slope_others,shape_elevation,shape_plan,soft_storey,structur_type,structure_others,column_size,earthquake_resistant_element,occupants_day,occupants_evening,occupants_morning,occupants_night,facility_number,operator_name,Lat,Lon
120435385,hospital,1990-2000,4,2,Good,RCC/RBC,,2,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Regular,Multi-Projected,No,Engineered_RC_Frame,,12x12,No,,,,,,,85.3507516,27.7054003
135739030,school,Before_1960,10,8,Poor,Jack_Arch,,3,One_Side_Same_Height,No,Rent,No,Clay_Tiles,,Sloped,,Regular,Multi-Projected,No,Load_Bearing_Stone_Wall_in_Mud_Mortar,,,No,101,,,,1,,85.3313445,27.7135384
163346193,hospital,After_2000,7,2,Good,RCC/RBC,,N/A,Free_Standing,No,Self,No,RCC/RBC,,Flat,,Narrow_and_Tall,Narrow_and_Long,No,Engineered_RC_Frame,,16x16,N/A,50,,,50,1,Kantipur Hospital,85.3449407,27.6855961
169429526,school,Before_1960,4,1,Poor,Wood,,4,Two_Sides_Different_Height,No,Self,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,310,,,,1,Nava Adarsha Secondary School,85.3067494,27.7036471
169442497,college,1960-1990,3,5,Average,RCC/RBC,,4,Free_Standing,No,Self,No,CGI,,Sloped,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,,,,,1,Tri Chandra College,85.3165893,27.7083517
169444610,college,1990-2000,3,6,Good,N/A,,1,Free_Standing,No,Self,No,CGI,,Sloped,,Regular,Rectangular,No,Engineered_RC_Frame,,12x12,No,,,,,5,Tri Chandra College,85.3171911,27.7078732
169444613,college,Before_1960,2,1,Poor,Others,wooden and RCC/RBC,2,Free_Standing,No,Self,No,Others,CGI and RCC/RBC,Flat,,Setback,Multi-Projected,No,Mud_Brick_in_Surkhi,,,No,,,,,4,Tri Chandra College,85.3170498,27.7074288
177618131,school,1960-1990,1,1,Poor,RCC/RBC,,3,One_Side_Different_Height,No,Self,No,RCC/RBC,,Flat,,Regular,L-Shaped,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,294,60,60,0,1,Panga Seconday Boarding School,85.2819714,27.6711465
178427761,school,After_2000,1,6,Average,RCC/RBC,,2,One_Side_Different_Height,No,Rent,No,CGI,,Flat,,Setback,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,100,,,0,2,NIBS School,85.3486526,27.7369249
178772727,school,1960-1990,2,3,Poor,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,N/A,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,Yes,70,,,0,1,Lumbini Beginner's Academy,85.346003,27.7346935
