"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1",27.7135384,85.3313445,3,"No","Load_Bearing_Stone_Wall_in_Mud_Mortar",101,"Non-retrofitted URM"
"2",27.7036471,85.3067494,4,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",310,"Non-retrofitted URM"
"3",27.6711465,85.2819714,3,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",60,"Non-retrofitted URM"
"4",27.7369249,85.3486526,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",100,"Non-retrofitted URM"
"5",27.7346935,85.346003,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"6",27.7442017,85.3414054,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",100,"Non-retrofitted URM"
"7",27.6948936,85.3519589,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",1035,"Non-retrofitted URM"
"8",27.6798743,85.3487071,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"9",27.6799216,85.3483882,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"10",27.668605,85.2820283,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",437,"Non-retrofitted URM"
"11",27.6815089,85.3472086,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"12",27.6744148,85.342311,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",16,"Non-retrofitted URM"
"13",27.6742527,85.3423357,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",16,"Non-retrofitted URM"
"14",27.7811041,85.3578113,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",950,"Non-retrofitted URM"
"15",27.7807734,85.3573168,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",50,"Non-retrofitted URM"
"16",27.7828044,85.3597068,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",85,"Non-retrofitted URM"
"17",27.7830059,85.3594703,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",85,"Non-retrofitted URM"
"18",27.6762984,85.3185272,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",350,"Non-retrofitted URM"
"19",27.6766102,85.3179881,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",15,"Non-retrofitted URM"
"20",27.6766792,85.3189094,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"21",27.7024677,85.3194696,3,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",50,"Non-retrofitted URM"
"22",27.7029376,85.3192343,3,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",400,"Non-retrofitted URM"
"23",27.7209023,85.3289436,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",3,"Non-retrofitted URM"
"24",27.6696279,85.4339822,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",110,"Non-retrofitted URM"
"25",27.672816,85.4227952,2,"No","Load_Bearing_Brick_Wall_in_Mud_Mortar",152,"Non-retrofitted URM"
"26",27.7227758,85.3338691,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",55,"Non-retrofitted URM"
"27",27.7226894,85.3336578,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",65,"Non-retrofitted URM"
"28",27.722625,85.3329078,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",75,"Non-retrofitted URM"
"29",27.7219492,85.3281138,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",90,"Non-retrofitted URM"
"30",27.7220883,85.3280734,2,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",2,"Non-retrofitted URM"
"31",27.702917,85.3457381,1,"No","Mixed",20,"Non-retrofitted URM"
"32",27.6929314,85.3506989,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",64,"Non-retrofitted URM"
"33",27.6912268,85.3506186,3,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",105,"Non-retrofitted URM"
"34",27.6927624,85.3509199,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",19,"Non-retrofitted URM"
"35",27.6930424,85.3505689,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",63,"Non-retrofitted URM"
"36",27.6930337,85.3508603,1,"No","Load_Bearing_Brick_Wall_in_Cement_Mortar",58,"Non-retrofitted URM"
