#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-21T12:26:59', checksum=3502110342, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070000,poe-0.0098000,poe-0.0137000,poe-0.0192000,poe-0.0269000,poe-0.0376000,poe-0.0527000,poe-0.0738000,poe-0.1030000,poe-0.1450000,poe-0.2030000,poe-0.2840000,poe-0.3970000,poe-0.5560000,poe-0.7780000,poe-1.0900000,poe-1.5200000,poe-2.1300000
85.34865,27.73692,0.00000,1.387165E-01,1.213552E-01,1.038296E-01,8.512950E-02,6.631286E-02,4.908147E-02,3.540666E-02,2.370947E-02,1.478147E-02,9.045876E-03,4.930540E-03,2.275634E-03,1.011393E-03,4.424844E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34600,27.73469,0.00000,1.404252E-01,1.227679E-01,1.024716E-01,8.545731E-02,6.818756E-02,4.984521E-02,3.485605E-02,2.432649E-02,1.422926E-02,8.287330E-03,5.000303E-03,2.528482E-03,9.481809E-04,2.528482E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34141,27.74420,0.00000,1.371525E-01,1.181133E-01,9.951794E-02,7.970861E-02,6.226138E-02,4.457895E-02,3.094546E-02,2.149050E-02,1.261756E-02,7.868101E-03,4.344929E-03,2.844542E-03,1.074605E-03,3.792723E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.35196,27.69489,0.00000,1.415260E-01,1.240591E-01,1.062166E-01,8.695074E-02,6.721117E-02,4.941943E-02,3.606563E-02,2.520331E-02,1.619739E-02,8.801581E-03,4.764159E-03,1.856404E-03,4.424844E-04,1.896362E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34871,27.67987,0.00000,1.434143E-01,1.272013E-01,1.085302E-01,8.905720E-02,7.060473E-02,5.264820E-02,3.795839E-02,2.649736E-02,1.520925E-02,8.666603E-03,4.321674E-03,1.896362E-03,7.585447E-04,3.160603E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34839,27.67992,0.00000,1.439094E-01,1.276839E-01,1.108670E-01,9.190334E-02,7.216497E-02,5.244505E-02,3.633973E-02,2.486854E-02,1.489119E-02,8.184161E-03,4.574522E-03,1.643513E-03,6.321206E-04,1.896362E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.28203,27.66860,0.00000,1.270754E-01,1.092826E-01,8.927329E-02,6.998435E-02,5.313224E-02,3.946893E-02,2.719429E-02,1.684421E-02,1.076930E-02,6.321206E-03,2.528482E-03,1.580301E-03,5.689085E-04,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
85.34721,27.68151,0.00000,1.441815E-01,1.263397E-01,1.075017E-01,8.716244E-02,6.831104E-02,5.081664E-02,3.748610E-02,2.483874E-02,1.547680E-02,9.085833E-03,4.677692E-03,2.212422E-03,8.217567E-04,4.424844E-04,2.528482E-04,6.321206E-05,0.000000E+00,0.000000E+00,0.000000E+00
85.34231,27.67441,0.00000,1.443054E-01,1.281329E-01,1.108412E-01,9.186339E-02,7.180535E-02,5.393529E-02,3.872509E-02,2.570045E-02,1.617213E-02,9.022621E-03,4.764159E-03,2.275634E-03,8.217567E-04,3.792723E-04,6.321206E-05,6.321206E-05,6.321206E-05,0.000000E+00,0.000000E+00
85.34234,27.67425,0.00000,1.451293E-01,1.295806E-01,1.118723E-01,9.111794E-02,7.139668E-02,5.519138E-02,3.926259E-02,2.503492E-02,1.590258E-02,1.031012E-02,5.017007E-03,1.666768E-03,8.217567E-04,1.896362E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
