#,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T12:41:52', checksum=3502110342"
site_id,lon,lat
0,85.34865,27.73692
1,85.34600,27.73469
2,85.34141,27.74420
3,85.35196,27.69489
4,85.34871,27.67987
5,85.34839,27.67992
6,85.28203,27.66860
7,85.34721,27.68151
8,85.34231,27.67441
9,85.34234,27.67425
10,85.35781,27.78110
11,85.35732,27.78077
12,85.35971,27.78280
13,85.35947,27.78301
14,85.31799,27.67661
15,85.31891,27.67668
16,85.32894,27.72090
17,85.33387,27.72278
18,85.33366,27.72269
19,85.33291,27.72262
20,85.32811,27.72195
21,85.32807,27.72209
22,85.35070,27.69293
23,85.35062,27.69123
24,85.35092,27.69276
25,85.35057,27.69304
26,85.35086,27.69303
27,85.35018,27.69131
28,85.32770,27.68829
29,85.32777,27.68847
30,85.33211,27.68689
31,85.33219,27.68695
32,85.33026,27.68516
33,85.35171,27.69934
34,85.34687,27.71545
35,85.33738,27.68516
36,85.31432,27.68903
37,85.35633,27.72666
38,85.33662,27.72597
39,85.32650,27.72814
40,85.32645,27.72831
41,85.35308,27.72654
42,85.34990,27.71391
43,85.34861,27.72253
44,85.43635,27.67571
45,85.31353,27.73747
46,85.33161,27.74284
47,85.32608,27.72788
48,85.32505,27.72605
49,85.32305,27.71861
50,85.33105,27.72189
51,85.33487,27.71874
52,85.33489,27.71857
53,85.33301,27.72784
54,85.33097,27.71443
55,85.33085,27.71478
56,85.33748,27.71654
57,85.33079,27.71447
58,85.30322,27.70169
59,85.33026,27.70679
60,85.33030,27.70726
61,85.33004,27.70727
62,85.33021,27.70711
63,85.33554,27.70877
64,85.33419,27.71317
65,85.35690,27.72646
66,85.32877,27.68794
67,85.43745,27.67816
68,85.30976,27.68551
69,85.32984,27.73135
70,85.32680,27.67935
71,85.34107,27.73592
72,85.41101,27.67219
73,85.34061,27.69850
74,85.34273,27.69769
75,85.33000,27.74164
76,85.32995,27.74140
77,85.34051,27.69374
78,85.33882,27.69646
79,85.34000,27.69330
80,85.33924,27.69638
81,85.34141,27.69643
82,85.33124,27.68732
83,85.34509,27.72903
84,85.34326,27.72582
85,85.34535,27.71801
86,85.33220,27.73458
87,85.33481,27.69464
88,85.33551,27.69466
89,85.33581,27.69391
90,85.33425,27.69454
91,85.33071,27.69637
92,85.30678,27.72643
93,85.34906,27.75616
94,85.35074,27.75879
95,85.35086,27.75863
96,85.34486,27.73785
97,85.34496,27.73789
98,85.34383,27.74137
99,85.35076,27.69794
100,85.35064,27.67216
101,85.33374,27.68387
102,85.33373,27.68380
103,85.31945,27.70284
104,85.32058,27.70308
105,85.37346,27.64222
106,85.37401,27.64235
107,85.37388,27.64227
108,85.34879,27.69768
109,85.24691,27.69236
110,85.37885,27.59279
111,85.37875,27.59333
112,85.37943,27.59325
113,85.37913,27.59338
114,85.37928,27.59280
115,85.37870,27.59298
116,85.30561,27.65329
117,85.33182,27.69258
118,85.33223,27.68977
119,85.33382,27.69089
120,85.30135,27.64840
121,85.33681,27.69209
122,85.33760,27.69291
123,85.34020,27.68975
124,85.33574,27.68749
125,85.33709,27.68548
126,85.33147,27.68832
127,85.33149,27.68823
128,85.33227,27.68475
129,85.42288,27.66983
130,85.42209,27.66937
131,85.32711,27.80248
132,85.42689,27.66875
133,85.38635,27.66927
134,85.26789,27.62025
135,85.34727,27.70525
136,85.34656,27.70425
137,85.34797,27.70241
138,85.34781,27.70428
139,85.34786,27.70229
140,85.34750,27.70489
141,85.34731,27.70487
142,85.32859,27.79414
143,85.32846,27.79420
144,85.29485,27.73684
145,85.40239,27.76203
146,85.40248,27.76191
147,85.42943,27.67412
148,85.37801,27.68582
149,85.33793,27.69926
150,85.42492,27.67639
151,85.42886,27.67828
152,85.42457,27.67677
153,85.42479,27.67667
154,85.28261,27.73034
155,85.29643,27.73609
156,85.29852,27.73511
157,85.36294,27.72632
158,85.36300,27.72639
159,85.29631,27.72640
160,85.29641,27.72658
161,85.29187,27.72597
162,85.28113,27.72255
163,85.27698,27.72319
164,85.28710,27.70870
165,85.28177,27.71693
166,85.42722,27.67304
167,85.27112,27.71733
168,85.39143,27.70887
169,85.39325,27.70890
170,85.39298,27.70858
171,85.39127,27.70898
172,85.39334,27.71203
173,85.30198,27.60145
174,85.29882,27.59111
175,85.29878,27.59104
176,85.30857,27.59303
177,85.30855,27.59286
178,85.30071,27.74498
179,85.30066,27.74532
180,85.30082,27.74530
181,85.33506,27.71867
182,85.29629,27.74473
183,85.29645,27.74468
184,85.29650,27.74503
185,85.34858,27.69697
186,85.34252,27.70008
187,85.34704,27.69428
188,85.34344,27.69924
189,85.33140,27.74799
190,85.33116,27.74817
191,85.30374,27.73232
