lon lat pga(cm/s/s)
84.0 26.8 6.36
84.0167 26.8 6.7072
84.0334 26.8 7.0545
84.0501 26.8 7.3895
84.0668 26.8 7.7
84.0835 26.8 7.9736
84.1002 26.8 8.198
84.1169 26.8 8.3609
84.1336 26.8 8.45
84.1503 26.8 8.4648
84.167 26.8 8.4522
84.1837 26.8 8.471
84.2004 26.8 8.58
84.2171 26.8 8.8193
84.2338 26.8 9.1545
84.2505 26.8 9.5325
84.2672 26.8 9.9
84.2839 26.8 10.2087
84.3006 26.8 10.4285
84.3173 26.8 10.534
84.334 26.8 10.5
84.3507 26.8 10.3155
84.3674 26.8 10.0278
84.3841 26.8 9.6987
84.4008 26.8 9.39
84.4175 26.8 9.1563
84.4342 26.8 9.0239
84.4509 26.8 9.0121
84.4676 26.8 9.14
84.4843 26.8 9.4039
84.501 26.8 9.7078
84.5177 26.8 9.9328
84.5344 26.8 9.96
84.5511 26.8 9.7392
84.5678 26.8 9.495
84.5845 26.8 9.5208
84.6012 26.8 10.11
84.6179 26.8 11.4199
84.6346 26.8 13.0635
84.6513 26.8 14.5178
84.668 26.8 15.26
84.6847 26.8 14.9375
84.7014 26.8 13.8799
84.7181 26.8 12.5874
84.7348 26.8 11.56
84.7515 26.8 11.1811
84.7682 26.8 11.3669
84.7849 26.8 11.9168
84.8016 26.8 12.63
84.8183 26.8 13.3217
84.835 26.8 13.8699
84.8517 26.8 14.1681
84.8684 26.8 14.11
84.8851 26.8 13.6383
84.9018 26.8 12.8923
84.9185 26.8 12.0601
84.9352 26.8 11.33
84.9519 26.8 10.8518
84.9686 26.8 10.621
84.9853 26.8 10.5947
85.002 26.8 10.73
85.0187 26.8 11.011
85.0354 26.8 11.53
85.0521 26.8 12.4065
85.0688 26.8 13.76
85.0855 26.8 15.5959
85.1022 26.8 17.4641
85.1189 26.8 18.8002
85.1356 26.8 19.04
85.1523 26.8 17.8487
85.169 26.8 15.8087
85.1857 26.8 13.7319
85.2024 26.8 12.43
85.2191 26.8 12.4701
85.2358 26.8 13.4399
85.2525 26.8 14.6822
85.2692 26.8 15.54
85.2859 26.8 15.5436
85.3026 26.8 14.9731
85.3193 26.8 14.296
85.336 26.8 13.98
85.3527 26.8 14.3593
85.3694 26.8 15.2354
85.3861 26.8 16.2762
85.4028 26.8 17.15
85.4195 26.8 17.6022
85.4362 26.8 17.688
85.4529 26.8 17.5397
85.4696 26.8 17.29
85.4863 26.8 17.0368
85.503 26.8 16.7402
85.5197 26.8 16.3261
85.5364 26.8 15.72
85.5531 26.8 14.91
85.5698 26.8 14.1336
85.5865 26.8 13.6903
85.6032 26.8 13.88
85.6199 26.8 14.8782
85.6366 26.8 16.3641
85.6533 26.8 17.893
85.67 26.8 19.02
85.6867 26.8 19.4035
85.7034 26.8 19.1148
85.7201 26.8 18.3288
85.7368 26.8 17.22
85.7535 26.8 15.9735
85.7702 26.8 14.8153
85.7869 26.8 13.982
85.8036 26.8 13.71
85.8203 26.8 14.1381
85.837 26.8 15.0151
85.8537 26.8 15.992
85.8704 26.8 16.72
85.8871 26.8 16.9588
85.9038 26.8 16.9029
85.9205 26.8 16.8556
85.9372 26.8 17.12
85.9539 26.8 17.8822
85.9706 26.8 18.8595
85.9873 26.8 19.652
86.004 26.8 19.86
86.0207 26.8 19.2131
86.0374 26.8 17.9591
86.0541 26.8 16.4756
86.0708 26.8 15.14
86.0875 26.8 14.2444
86.1042 26.8 13.7402
86.1209 26.8 13.4934
86.1376 26.8 13.37
86.1543 26.8 13.2581
86.171 26.8 13.1338
86.1877 26.8 12.9951
86.2044 26.8 12.84
86.2211 26.8 12.6657
86.2378 26.8 12.4658
86.2545 26.8 12.233
86.2712 26.8 11.96
86.2879 26.8 11.6505
86.3046 26.8 11.3518
86.3213 26.8 11.1222
86.338 26.8 11.02
86.3547 26.8 11.0971
86.3714 26.8 11.3796
86.3881 26.8 11.8874
86.4048 26.8 12.64
86.4215 26.8 13.6049
86.4382 26.8 14.5397
86.4549 26.8 15.1496
86.4716 26.8 15.14
86.4883 26.8 14.3373
86.505 26.8 13.0529
86.5217 26.8 11.7196
86.5384 26.8 10.77
86.5551 26.8 10.5262
86.5718 26.8 10.8675
86.5885 26.8 11.5626
86.6052 26.8 12.38
86.6219 26.8 13.1135
86.6386 26.8 13.6571
86.6553 26.8 13.9296
86.672 26.8 13.85
86.6887 26.8 13.3776
86.7054 26.8 12.6329
86.7221 26.8 11.7768
86.7388 26.8 10.97
86.7555 26.8 10.3442
86.7722 26.8 9.9138
86.7889 26.8 9.664
86.8056 26.8 9.58
86.8223 26.8 9.637
86.839 26.8 9.7707
86.8557 26.8 9.9065
86.8724 26.8 9.97
86.8891 26.8 9.9057
86.9058 26.8 9.7335
86.9225 26.8 9.492
86.9392 26.8 9.22
86.9559 26.8 8.9561
86.9726 26.8 8.739
86.9893 26.8 8.6074
84.0 26.8167 6.6691
84.0167 26.8167 6.4057
84.0334 26.8167 6.3701
84.0501 26.8167 6.515
