"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1",27.6777367,85.3198606,2,"Yes","Mud_Brick_in_Surkhi",25,"Non-retrofitted URM"
"2",27.6420727,85.3736484,2,"Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",130,"Non-retrofitted URM"
"3",27.6419698,85.3738573,2,"Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",60,"Non-retrofitted URM"
"4",27.6515029,85.3068801,2,"Yes","Mixed",5,"Non-retrofitted URM"
"5",27.6735238,85.4324219,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",26,"Non-retrofitted URM"
"6",27.6562024,85.296147,2,"Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",35,"Non-retrofitted URM"
"7",27.7272832,85.320834,1,"Yes","Mixed",40,"Non-retrofitted URM"
"8",27.7242623,85.3328651,1,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",20,"Non-retrofitted URM"
"9",27.6680023,85.4043929,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",83,"Non-retrofitted URM"
"10",27.7032041,85.4283729,2,"Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",20,"Non-retrofitted URM"
"11",27.6493193,85.4510189,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",105,"Non-retrofitted URM"
"12",27.6731794,85.3436109,1,"Yes","Mixed",40,"Non-retrofitted URM"
"13",27.638766,85.4151225,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",45,"Non-retrofitted URM"
"14",27.6829165,85.3666882,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",70,"Non-retrofitted URM"
"15",27.6610085,85.347657,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",115,"Non-retrofitted URM"
"16",27.678281,85.473484,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",150,"Non-retrofitted URM"
"17",27.7454307,85.3112925,1,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",92,"Non-retrofitted URM"
"18",27.6761779,85.383646,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",105,"Non-retrofitted URM"
"19",27.6760071,85.3837302,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",45,"Non-retrofitted URM"
"20",27.6919926,85.4754857,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",88,"Non-retrofitted URM"
"21",27.6949683,85.4895911,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",80,"Non-retrofitted URM"
"22",27.7164126,85.3457316,2,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",800,"Non-retrofitted URM"
"23",27.6792404,85.3201774,1,"Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",36,"Non-retrofitted URM"
"24",27.675766,85.3169895,2,"Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",150,"Non-retrofitted URM"
