"","lat","lon","num_flr","retrofit","struc_type","occ_day","class"
"1",27.6721797,85.3582505,3,"No","Non_Engineered_RC_Frame",100,"Non-retrofitted RC"
"2",27.6831561,85.2870287,2,"No","Engineered_RC_Frame",44,"Non-retrofitted RC"
"3",27.681763,85.2873515,2,"No","Engineered_RC_Frame",220,"Non-retrofitted RC"
"4",27.6819065,85.2865197,2,"No","Engineered_RC_Frame",286,"Non-retrofitted RC"
"5",27.681553,85.2879069,2,"No","Engineered_RC_Frame",124,"Non-retrofitted RC"
"6",27.6818869,85.2881782,2,"No","Engineered_RC_Frame",92,"Non-retrofitted RC"
"7",27.6822961,85.2881929,2,"No","Engineered_RC_Frame",36,"Non-retrofitted RC"
"8",27.683008,85.2872986,2,"No","Engineered_RC_Frame",139,"Non-retrofitted RC"
"9",27.683931,85.3453892,5,"No","Non_Engineered_RC_Frame",5,"Non-retrofitted RC"
"10",27.6699149,85.2706947,3,"No","Engineered_RC_Frame",400,"Non-retrofitted RC"
"11",27.6694993,85.2705725,3,"No","Non_Engineered_RC_Frame",140,"Non-retrofitted RC"
"12",27.6854271,85.3437153,5,"No","Engineered_RC_Frame",80,"Non-retrofitted RC"
"13",27.6840893,85.3444715,3,"No","Non_Engineered_RC_Frame",10,"Non-retrofitted RC"
"14",27.6819031,85.3428724,3,"No","Non_Engineered_RC_Frame",4,"Non-retrofitted RC"
"15",27.6816993,85.3475568,3,"No","Non_Engineered_RC_Frame",2,"Non-retrofitted RC"
"16",27.678778,85.3469795,5,"No","Non_Engineered_RC_Frame",125,"Non-retrofitted RC"
"17",27.6753299,85.3430054,1,"No","Non_Engineered_RC_Frame",50,"Non-retrofitted RC"
"18",27.702087,85.3197136,2,"No","Non_Engineered_RC_Frame",20,"Non-retrofitted RC"
"19",27.6774488,85.3196134,5,"No","Engineered_RC_Frame",720,"Non-retrofitted RC"
"20",27.7024458,85.3204521,2,"No","Non_Engineered_RC_Frame",600,"Non-retrofitted RC"
"21",27.6869397,85.4270627,2,"No","Engineered_RC_Frame",320,"Non-retrofitted RC"
"22",27.6733334,85.3765785,5,"No","Engineered_RC_Frame",25,"Non-retrofitted RC"
"23",27.691197,85.3507699,3,"No","Engineered_RC_Frame",5,"Non-retrofitted RC"
"24",27.723348,85.3259629,4,"No","Non_Engineered_RC_Frame",75,"Non-retrofitted RC"
"25",27.6796004,85.3423835,3,"No","Non_Engineered_RC_Frame",50,"Non-retrofitted RC"
"26",27.6909414,85.3393596,5,"No","Non_Engineered_RC_Frame",970,"Non-retrofitted RC"
"27",27.7007823,85.3412784,2,"No","Non_Engineered_RC_Frame",120,"Non-retrofitted RC"
"28",27.6868051,85.3322348,4,"No","Non_Engineered_RC_Frame",30,"Non-retrofitted RC"
"29",27.6868418,85.3315956,4,"No","Non_Engineered_RC_Frame",140,"Non-retrofitted RC"
"30",27.7356017,85.327988,4,"No","Non_Engineered_RC_Frame",270,"Non-retrofitted RC"
"31",27.7355156,85.3282697,5,"No","Non_Engineered_RC_Frame",110,"Non-retrofitted RC"
"32",27.7363396,85.3239105,5,"No","Engineered_RC_Frame",443,"Non-retrofitted RC"
"33",27.7113416,85.3402884,4,"No","Non_Engineered_RC_Frame",43,"Non-retrofitted RC"
"34",27.7263361,85.3564827,3,"No","Engineered_RC_Frame",400,"Non-retrofitted RC"
"35",27.7266477,85.3559756,5,"No","Non_Engineered_RC_Frame",75,"Non-retrofitted RC"
"36",27.6741367,85.313092,5,"No","Engineered_RC_Frame",870,"Non-retrofitted RC"
"37",27.7068181,85.3254113,3,"No","Engineered_RC_Frame",600,"Non-retrofitted RC"
"38",27.6782172,85.4321546,5,"Yes","Engineered_RC_Frame",600,"Non-retrofitted RC"
"39",27.6780801,85.4327368,5,"No","Engineered_RC_Frame",900,"Non-retrofitted RC"
"40",27.7032932,85.3217889,2,"No","Engineered_RC_Frame",30,"Non-retrofitted RC"
"41",27.7210704,85.2953306,4,"No","Non_Engineered_RC_Frame",148,"Non-retrofitted RC"
"42",27.7208567,85.297705,4,"No","Non_Engineered_RC_Frame",50,"Non-retrofitted RC"
"43",27.7273547,85.3362967,3,"No","Non_Engineered_RC_Frame",270,"Non-retrofitted RC"
"44",27.7263229,85.3350582,5,"No","Engineered_RC_Frame",600,"Non-retrofitted RC"
"45",27.7264067,85.372292,4,"No","Non_Engineered_RC_Frame",73,"Non-retrofitted RC"
"46",27.7228575,85.3467078,4,"No","Non_Engineered_RC_Frame",60,"Non-retrofitted RC"
"47",27.7393453,85.3284437,5,"No","Engineered_RC_Frame",1300,"Non-retrofitted RC"
"48",27.7354335,85.3220543,5,"No","Engineered_RC_Frame",485,"Non-retrofitted RC"
"49",27.7333779,85.3173261,4,"No","Engineered_RC_Frame",985,"Non-retrofitted RC"
"50",27.7331827,85.3187922,4,"No","Engineered_RC_Frame",318,"Non-retrofitted RC"
"51",27.7325022,85.320301,4,"No","Non_Engineered_RC_Frame",5,"Non-retrofitted RC"
"52",27.7316099,85.3171449,5,"No","Non_Engineered_RC_Frame",225,"Non-retrofitted RC"
"53",27.7321536,85.3172975,5,"No","Non_Engineered_RC_Frame",72,"Non-retrofitted RC"
"54",27.7197864,85.3460206,4,"No","Engineered_RC_Frame",8,"Non-retrofitted RC"
"55",27.7164265,85.3354477,3,"No","Non_Engineered_RC_Frame",25,"Non-retrofitted RC"
"56",27.728058,85.3329813,3,"No","Non_Engineered_RC_Frame",250,"Non-retrofitted RC"
"57",27.71623,85.3318091,3,"No","Non_Engineered_RC_Frame",430,"Non-retrofitted RC"
